name,family,tdp,cores,threads,memory,embodied
Annapurna Labs Graviton2,Graviton2,150,64,64,24.0,624.9
Annapurna Labs Graviton2,Graviton2,150,64,64,4.0,22.3
Annapurna Labs Graviton2,Graviton2,150,64,64,64.0,296.2
Annapurna Labs Graviton2,Graviton2,150,64,64,384.0,1777.0
Annapurna Labs Graviton2,Graviton2,150,64,64,1.0,18.8
Intel Xeon E7-8880 V3,Haswell,150,18,36,122.0,471.1
Intel Xeon E7-8880 V3,Haswell,150,18,36,488.0,1818.0
Intel Xeon E7-8880 V3,Haswell,150,18,36,3904.0,14550.0
Intel Xeon E7-8880 V3,Haswell,150,18,36,3904.0,15070.0
Intel Xeon Gold 6148,Skylake,150,20,40,16.0,86.3
Annapurna Labs Graviton2,Graviton2,150,64,64,32.0,244.1
Annapurna Labs Graviton2,Graviton2,150,64,64,64.0,749.3
Annapurna Labs Graviton2,Graviton2,150,64,64,16.0,119.4
Annapurna Labs Graviton2,Graviton2,150,64,64,32.0,684.6
Annapurna Labs Graviton2,Graviton2,150,64,64,48.0,1250.0
Annapurna Labs Graviton2,Graviton2,150,64,64,192.0,4999.0
Annapurna Labs Graviton2,Graviton2,150,64,64,64.0,356.7
Annapurna Labs Graviton2,Graviton2,150,64,64,64.0,487.3
Annapurna Labs Graviton2,Graviton2,150,64,64,8.0,37.0
Annapurna Labs Graviton2,Graviton2,150,64,64,16.0,74.0
Annapurna Labs Graviton2,Graviton2,150,64,64,512.0,2370.0
Intel Xeon E7-8880 V3,Haswell,150,18,36,976.0,4102.0
Annapurna Labs Graviton2,Graviton2,150,64,64,32.0,146.6
Annapurna Labs Graviton2,Graviton2,150,64,64,4.0,46.7
Annapurna Labs Graviton2,Graviton2,150,64,64,32.0,275.4
Annapurna Labs Graviton2,Graviton2,150,64,64,128.0,1102.0
Annapurna Labs Graviton2,Graviton2,150,64,64,512.0,4407.0
Annapurna Labs Graviton2,Graviton2,150,64,64,64.0,1369.0
Annapurna Labs Graviton2,Graviton2,150,64,64,32.0,180.7
Intel Xeon E7-8880 V3,Haswell,150,18,36,1952.0,7676.0
Intel Xeon E7-8880 V3,Haswell,150,18,36,1952.0,8204.0
Annapurna Labs Graviton2,Graviton2,150,64,64,512.0,2347.0
Annapurna Labs Graviton2,Graviton2,150,64,64,1024.0,4694.0
Annapurna Labs Graviton2,Graviton2,150,64,64,64.0,488.1
Annapurna Labs Graviton2,Graviton2,150,64,64,8.0,59.7
Annapurna Labs Graviton2,Graviton2,150,64,64,12.0,312.4
Annapurna Labs Graviton2,Graviton2,150,64,64,32.0,178.4
Annapurna Labs Graviton2,Graviton2,150,64,64,192.0,1070.0
Annapurna Labs Graviton2,Graviton2,150,64,64,192.0,1462.0
Annapurna Labs Graviton2,Graviton2,150,64,64,32.0,148.1
Annapurna Labs Graviton2,Graviton2,150,64,64,64.0,361.4
Annapurna Labs Graviton2,Graviton2,150,64,64,768.0,3521.0
AMD EPYC 7452,Rome,155,32,64,192.0,987.6
AMD EPYC 7452,Rome,155,32,64,16.0,82.3
AMD EPYC 7452,Rome,155,32,64,256.0,1186.0
AMD EPYC 7452,Rome,155,32,64,384.0,1779.0
AMD EPYC 7452,Rome,155,32,64,432.0,2042.0
AMD EPYC 7452,Rome,155,32,64,8.0,41.1
AMD EPYC 7452,Rome,155,32,64,32.0,148.2
AMD EPYC 7452,Rome,155,32,64,64.0,296.5
AMD EPYC 7452,Rome,155,32,64,256.0,1317.0
AMD EPYC 7452,Rome,155,32,64,384.0,1975.0
AMD EPYC 7452,Rome,155,32,64,128.0,592.9
AMD EPYC 7452,Rome,155,32,64,16.0,74.1
AMD EPYC 7452,Rome,155,32,64,64.0,329.2
AMD EPYC 7452,Rome,155,32,64,128.0,658.4
AMD EPYC 7452,Rome,155,32,64,32.0,164.6
AMD EPYC 7452,Rome,155,32,64,160.0,741.2
AMD EPYC 7452,Rome,155,32,64,672.0,3162.0
Intel Xeon Platinum 8176M,Skylake,165,28,56,6144.0,22080.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,32.0,183.7
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,32.0,148.8
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,4.0,36.8
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,104.0,440.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,0.6,12.4
Intel Xeon Platinum 8176M,Skylake,165,28,56,9216.0,33280.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,60.0,285.1
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,360.0,1711.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,52.0,220.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,16.0,74.4
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,64.0,297.7
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,2.0,24.8
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,4.0,49.6
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,16.0,198.5
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,3.8,17.8
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,30.0,142.6
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,240.0,1141.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,13.0,55.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,1433.6,5190.0
Intel Xeon Platinum 8176M,Skylake,165,28,56,6144.0,22400.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,8.0,45.9
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,32.0,397.1
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,1.0,22.3
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,15.0,71.3
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,120.0,570.3
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,416.0,1760.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,1.8,15.6
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,57.6,498.1
Intel Xeon Platinum 8176M,Skylake,165,28,56,12288.0,44150.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,16.0,91.9
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,8.0,99.3
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,14.4,124.5
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,86.4,747.2
Intel Xeon Platinum 8176M,Skylake,165,28,56,18432.0,65900.0
Intel Xeon Platinum 8176M,Skylake,165,28,56,3072.0,11200.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,3.6,31.1
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,28.8,249.1
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,1.7,19.1
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,128.0,735.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,2.0,27.1
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,7.2,62.3
Intel Xeon Platinum 8176M,Skylake,165,28,56,24576.0,87660.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,64.0,367.5
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,128.0,595.4
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,7.5,35.6
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,26.0,110.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,208.0,880.0
Intel Xeon Scalable Platinum 8173M ,Skylake,165,28,56,624.0,2640.0
AMD EPYC 7281,Naples,170,16,32,2.0,23.8
AMD EPYC 7281,Naples,170,16,32,8.0,60.9
AMD EPYC 7281,Naples,170,16,32,12.0,75.6
AMD EPYC 7281,Naples,170,16,32,4.0,38.7
Ampere Altra Q64-30,Quicksilver,180,64,64,64.0,353.6
Ampere Altra Q64-30,Quicksilver,180,64,64,128.0,707.3
Ampere Altra Q64-30,Quicksilver,180,64,64,192.0,1061.0
AMD EPYC 7413,Milan,180,24,48,96.0,377.7
Ampere Altra Q64-30,Quicksilver,180,64,64,8.0,44.2
AMD EPYC 7413,Milan,180,24,48,48.0,200.9
AMD EPYC 7413,Milan,180,24,48,96.0,400.2
AMD EPYC 7551P,Naples,180,32,64,128.0,1164.0
Ampere Altra Q64-30,Quicksilver,180,64,64,4.0,22.1
AMD EPYC 7413,Milan,180,24,48,192.0,753.8
Ampere Altra Q64-30,Quicksilver,180,64,64,16.0,88.4
AMD EPYC 7551P,Naples,180,32,64,384.0,3493.0
Ampere Altra Q64-30,Quicksilver,180,64,64,32.0,176.8
AMD EPYC 7413,Milan,180,24,48,192.0,798.8
AMD EPYC 7413,Milan,180,24,48,384.0,1506.0
AMD EPYC 7551P,Naples,180,32,64,256.0,2328.0
AMD EPYC 7551P,Naples,180,32,64,640.0,5821.0
AMD EPYC 7413,Milan,180,24,48,384.0,1596.0
AMD EPYC 7551P,Naples,180,32,64,512.0,4657.0
AMD EPYC 7551P,Naples,180,32,64,64.0,582.1
AMD EPYC 7413,Milan,180,24,48,768.0,3010.0
AMD EPYC 7571,Naples,200,32,64,384.0,1803.0
AMD EPYC 7571,Naples,200,32,64,16.0,96.3
AMD EPYC 7571,Naples,200,32,64,16.0,67.0
AMD EPYC 7571,Naples,200,32,64,768.0,3217.0
AMD EPYC 7571,Naples,200,32,64,384.0,1863.0
AMD EPYC 7571,Naples,200,32,64,512.0,2483.0
AMD EPYC 7571,Naples,200,32,64,32.0,150.2
AMD EPYC 7571,Naples,200,32,64,192.0,901.3
AMD EPYC 7571,Naples,200,32,64,256.0,1202.0
AMD EPYC 7571,Naples,200,32,64,8.0,48.1
AMD EPYC 7571,Naples,200,32,64,32.0,134.0
AMD EPYC 7571,Naples,200,32,64,8.0,37.5
AMD EPYC 7571,Naples,200,32,64,16.0,75.1
AMD EPYC 7571,Naples,200,32,64,64.0,310.4
AMD EPYC 7571,Naples,200,32,64,1.0,11.8
AMD EPYC 7571,Naples,200,32,64,64.0,385.1
AMD EPYC 7571,Naples,200,32,64,256.0,1541.0
AMD EPYC 7571,Naples,200,32,64,384.0,2311.0
AMD EPYC 7571,Naples,200,32,64,32.0,155.2
AMD EPYC 7571,Naples,200,32,64,128.0,536.1
AMD EPYC 7571,Naples,200,32,64,512.0,2145.0
AMD EPYC 7571,Naples,200,32,64,128.0,600.8
AMD EPYC 7571,Naples,200,32,64,768.0,3725.0
AMD EPYC 7571,Naples,200,32,64,64.0,300.4
AMD EPYC 7571,Naples,200,32,64,128.0,770.3
AMD EPYC 7571,Naples,200,32,64,192.0,1155.0
AMD EPYC 7571,Naples,200,32,64,256.0,1072.0
AMD EPYC 7571,Naples,200,32,64,4.0,22.8
AMD EPYC 7571,Naples,200,32,64,2.0,15.4
AMD EPYC 7571,Naples,200,32,64,32.0,192.6
AMD EPYC 7571,Naples,200,32,64,64.0,268.1
AMD EPYC 7571,Naples,200,32,64,384.0,1608.0
AMD EPYC 7571,Naples,200,32,64,16.0,77.6
AMD EPYC 7571,Naples,200,32,64,128.0,620.9
AMD EPYC 7571,Naples,200,32,64,256.0,1242.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,1024.0,3847.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,438.0,1686.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,1792.0,7027.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,1750.0,6876.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,2048.0,8256.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,3892.0,15160.0
Intel Xeon Gold 6246R,Cascade Lake,205,16,32,756.0,3307.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,875.0,3371.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,3892.0,14900.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,438.0,1721.0
Intel Xeon Platinum 8180M,Skylake-SP,205,28,56,2850.0,11220.0
Intel Xeon Platinum 8180M,Skylake-SP,205,28,56,5700.0,22430.0
Intel Xeon Gold 6246R,Cascade Lake,205,16,32,504.0,2204.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,192.0,993.8
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,512.0,2459.0
Intel Xeon Platinum 8180M,Skylake-SP,205,28,56,5700.0,21480.0
Intel Xeon Platinum 8280L,Cascade Lake,205,28,56,5888.0,21510.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,1792.0,6613.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,2048.0,7694.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,256.0,1230.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,2048.0,8690.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,219.0,860.4
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,875.0,3438.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,3892.0,16570.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,3800.0,14830.0
Intel Xeon Gold 6246R,Cascade Lake,205,16,32,1008.0,4409.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,3892.0,14340.0
Intel Xeon Platinum 8280L,Cascade Lake,205,28,56,5888.0,21120.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,1024.0,4128.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,1792.0,7730.0
Intel Xeon Platinum 8180M,Skylake-SP,205,28,56,11400.0,42960.0
Intel Xeon Platinum 8280L,Cascade Lake,205,28,56,8832.0,31870.0
Intel Xeon Gold 6246R,Cascade Lake,205,16,32,252.0,1102.0
Intel Xeon Gold 6246R,Cascade Lake,205,16,32,84.0,367.4
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,1792.0,6894.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,875.0,3231.0
Intel Xeon Platinum 8280,Cascade Lake-SP,205,28,56,1024.0,4345.0
